brand_family,expression,expression_type,name,is_core_range,proof,abv,age,mash,spirit_type,producer,brand,id
RD One,RD One Smoked Oak & Maple Wood,,RD One Smoked Oak & Maple Wood (gold label),N,111.3,,4,"Corn, Rye, Malted Barley",,RD One,RD One,d2105782-513a-4833-ad47-9cad8d32a81c
Rabbit Hole,Rabbit Hole Cavehill,,Rabbit Hole Cavehill,Y,95,47.5,,,,Rabbit Hole,Rabbit Hole,d269dfc1-a6cc-4b4a-9432-79c0d806720d
Rabbit Hole,Rabbit Hole Dareringer,,Rabbit Hole Dareringer,Y,93,46.5,,,,Rabbit Hole,Rabbit Hole,4bc17292-d4a7-4a84-a462-953a762a7af3
Rabbit Hole,Rabbit Hole Heigold,,Rabbit Hole Heigold,Y,95,47.5,,,,Rabbit Hole,Rabbit Hole,729e31c0-9969-4d23-b6cf-73a6074f29d6
Rebel,Rebel,,Rebel,N,100,50,,,,Lux Row (Luxco),Rebel,66f34395-0e9c-4ca7-9e9d-3ec6a1e53854
Rebel,Rebel Cask Strength,Cask Strength,Rebel Cask Strength,N,120,60,6,"Corn, Wheat, Malted Barley",,Lux Row (Luxco),Rebel,7d043a67-ab39-4e15-b1d5-a91d1accba25
Russell's Reserve,Russell's Reserve 10 Year,,Russell's Reserve 10 Year,Y,90,45,,"75% corn, 13% rye, 12% malted barley",,Wild Turkey (Campari),Russell's Reserve,79950c93-2561-4545-a416-39d22df88d43
Russell's Reserve,Russell's Reserve Private Barrel Selection,,Russell's Reserve Private Barrel Selection,N,110,55,9,"Corn, Rye, Malted Barley",,Wild Turkey (Campari),Russell's Reserve,355e73eb-e369-4a31-8aef-9a6424c6e28e
Russell's Reserve,Russell's Reserve Single Barrel,Single Barrel,Russell's Reserve Single Barrel,Y,110,55,,,,Wild Turkey (Campari),Russell's Reserve,0ff683f5-8bce-4411-9a8f-44e9cdc677e7
Russell's Reserve,Russell's Reserve Small Batch,Small Batch,Russell's Reserve Small Batch,Y,110,55,,"75% Corn, 13% Rye, 12% Malted Barley",,Wild Turkey (Campari),Russell's Reserve,75b49157-642b-4c23-a550-ad06d40c09e2
Shortbarrel,Shortbarrel Cigar Batch — Marignac Cognac Rum & Tawny Port Cask Finish,,"Shortbarrel Cigar Batch — Marignac Cognac, Rum & Tawny Port Cask Finish",N,115,,,Various (blend of straight whiskeys),,Shortbarrel,Shortbarrel,40ff6490-76c4-4513-8615-0ecca23621b5
Shortbarrel,Shortbarrel Single Barrel Series —,Single Barrel,Shortbarrel Single Barrel Series — Kentucky Straight Bourbon,N,121.8,,10,"Corn, Rye, Malted Barley",,Shortbarrel,Shortbarrel,facea7f4-5677-4741-9f6c-ae9ed53a79b0
Shortbarrel,Shortbarrel Single Barrel Series — Kentucky Straight Rye,Single Barrel,Shortbarrel Single Barrel Series — Kentucky Straight Rye,N,120.2,,10,"Rye, Corn, Malted Barley",,Shortbarrel,Shortbarrel,f9f2f611-8d09-4205-8f87-0f9e9339e0cb
Smoke Wagon,Smoke Wagon Uncut Unfiltered,,Smoke Wagon Uncut Unfiltered,N,115,57.5,,"Corn, Rye, Malted Barley",,Smoke Wagon,Smoke Wagon,a5f995b3-360c-4960-a028-ef4412a4d804
Spirits of French Lick,Spirits of French Lick The Wheater Straight Bourbon,,The Wheater Straight Bourbon,N,90,45,,,,Spirits of French Lick,Spirits of French Lick,f69331f2-7967-4518-bc32-977d54c07703
Stagg,Stagg Barrel Proof,Barrel Proof,Stagg Jr. Barrel Proof,N,128.4,64.2,,,,Buffalo Trace (Sazerac),Stagg,59e959c5-3a90-4580-b6b6-b2e575c7b116
Starlight,Starlight Distillery Carl T. Huber Signature Indiana Straight,,Starlight Distillery Carl T. Huber Signature Indiana Straight,N,92,46,,,,Starlight,Starlight,d6bfc748-6da2-4ace-a194-18dfb9b2f489
Starlight,Starlight Distillery Carl T. Huber's,,Starlight Distillery Carl T. Huber's,Y,100,50,,,,Starlight,Starlight,b619ba3d-55bd-4dae-beba-c7f302bf4b2d
Stellum,Stellum Bourbon,,Stellum Bourbon,Y,115,57.5,,,,Stellum Spirits,Stellum,72545e51-0e92-4b2e-866f-5ddd676f71cc
The Morning Glory,The Morning Glory Kasha Bourbon,,The Morning Glory Kasha Bourbon,N,109,,4.5,"Corn, Rye, Malted Barley",,The Morning Glory,The Morning Glory,69ed94e1-37d4-4c22-9762-ff86610f9f22
Three Chord,Three Chord,,Three Chord,Y,99,49.5,,,,Three Chord,Three Chord,ffe88d75-f64e-45e3-8c52-4300c7dc70a1
Town Branch,Town Branch,,Town Branch Kentucky Straight Bourbon,N,90,45,,,,Town Branch,Town Branch,928145b6-5e70-40df-a4d1-245273e80589
Town Branch,Town Branch Reserve Rye,,Town Branch Reserve Rye,N,100,50,,,,Town Branch,Town Branch,e1b606aa-fa57-4196-aaeb-19140871caed
Town Branch,Town Branch Single Barrel Reserve Rye,Single Barrel,Town Branch Single Barrel Reserve Rye,N,100,,6,"Rye, Malted Barley",,Town Branch,Town Branch,4aceeee0-6d09-4f7e-84cd-770ba1b37726
Trackside,Trackside Bourbon Whiskey Founder Release,,"Trackside Bourbon Whiskey, Founder Release 2025",N,107,,,"Corn, Rye, Malted Barley",,Trackside,Trackside,ee4e2409-d3ef-4b86-8911-67eb4aa4533b
Uncle Nearest,Uncle Nearest 1820,,Uncle Nearest 1820,Y,115,57.5,,,,Uncle Nearest,Uncle Nearest,f05ba405-6eb3-491b-b1e8-423a37a4f27f
Uncle Nearest,Uncle Nearest 1856,,Uncle Nearest 1856,N,100,50,,,,Uncle Nearest,Uncle Nearest,456f14ce-54d6-4fcd-a1ee-d936850add8c
Uncle Nearest,Uncle Nearest 1884,,Uncle Nearest 1884,N,93,46.5,,,,Uncle Nearest,Uncle Nearest,9dcb78fc-36d8-4962-85ef-2d0ab9674b38
Watch Hill Proper,Watch Hill Proper Honey Toasted Reserve Limited Release,,"Watch Hill Proper Honey Toasted Reserve, 2025 Limited Release",N,116,,,Various (blend),,Watch Hill Proper,Watch Hill Proper,e17205cd-86be-4e5b-b777-ea686317f0b0
Weller,Weller 12 Year,,Weller 12 Year,Y,90,45,12,"Undisclosed (Buffalo Trace “Wheated” Mashbill - Corn, Wheat, Malted Barley)",,Buffalo Trace (Sazerac),Weller,e811d4b9-7635-43fc-afb9-e66f1f9efd92
Weller,Weller Antique 107,,Weller Antique 107,Y,95,47.5,,"Undisclosed (Buffalo Trace ""Wheated"" Mashbill - Corn, Wheat, Malted Barley)",,Buffalo Trace (Sazerac),Weller,8b5cc01d-b4c4-4b11-ae16-6dd3059cd8ca
Weller,Weller Full Proof,Full Proof,Weller Full Proof,N,114,57,,,,Buffalo Trace (Sazerac),Weller,991605ef-5148-4c67-8936-8007ea8ef858
Weller,Weller Special Reserve,,W.L. Weller Special Reserve,N,90,,,"Corn, Wheat, Malted Barley",,Buffalo Trace (Sazerac),Weller,b66119dc-b2e6-429c-92cc-26761d0d49e6
WhistlePig,WhistlePig PiggyBack Rye,,WhistlePig PiggyBack 100% Rye,N,96.56,48.28,6,100% Rye,,WhistlePig,WhistlePig,a811b04b-b56b-439b-9e73-b47f2cd2c993
WhistlePig,WhistlePig Single Barrel Rye 10 Year,Single Barrel,"WhistlePig Single Barrel Rye, 10 Year",N,106.2,,10,"Rye, Malted Barley",,WhistlePig,WhistlePig,b2420717-cec1-49ac-b11e-e5e3c8b92e94
Widow Jane,Widow Jane,,Widow Jane,N,91,45.5,,,,Widow Jane,Widow Jane,40b99e37-712b-47b7-aec7-05426bf92072
Widow Jane,Widow Jane Decadence,,Widow Jane Decadence,N,91,45.5,,,,Widow Jane,Widow Jane,67723a6b-095c-43bc-ae73-407f8bda4b0d
Wild Turkey,Wild Turkey 101,,Wild Turkey 101,Y,,,,,,Wild Turkey (Campari),Wild Turkey,b8b6f3e0-a5d2-423b-925c-5563a05d17e7
Wild Turkey,Wild Turkey Generations 70th Anniversary,,Wild Turkey Generations 70th Anniversary Release,Y,101,50.5,8,"Corn, Rye, Malted Barley",,Wild Turkey (Campari),Wild Turkey,58a1e88f-0f24-4f5f-8dd8-a5559f4f42ae
Wild Turkey,Wild Turkey Kentucky Spirit,,Wild Turkey Kentucky Spirit,Y,101,50.5,8,"75% Corn, 13% Rye, 12% Malted Barley",,Wild Turkey (Campari),Wild Turkey,d83a2db3-8e3e-4832-a2a6-f23b5e5a6a71
Wild Turkey,Wild Turkey Longbranch,,Wild Turkey Longbranch,Y,86,43,8,"75% Corn, 13% Rye, 12% Malted Barley",,Wild Turkey (Campari),Wild Turkey,12e2f298-8c8f-4b5b-b2a7-f1657a63d30e
Wild Turkey,Wild Turkey Master's Keep,,Wild Turkey Master's Keep,N,106,53,,,,Wild Turkey (Campari),Wild Turkey,1cebcf62-4e0a-47c0-ada7-09b8f1ae313b
Wild Turkey,Wild Turkey Rare Breed,,Wild Turkey Rare Breed,Y,116.8,58.4,,"75% Corn, 13% Rye, 12% Malted Barley",,Wild Turkey (Campari),Wild Turkey,10f89810-ae93-44e2-8b69-39e6bb9d3d82
Wilderness Trail,Wilderness Trail Bottle in Bond,,Wilderness Trail Bottle in Bond,N,,,,,,Wilderness Trail,Wilderness Trail,7d6bdc21-61c4-42cc-a53c-8b1137891645
Willett,Willett Family Estate Rye,,Willett Family Estate Bottled Rye,N,110,55,4,rye,rye,Willett (Kentucky Bourbon Distillers),Willett,444c1657-9fbf-4e33-9c02-a5c30c9c8d82
Willett,Willett Johnny Drum,,Johnny Drum Private Stock,Y,101,50.5,4,Undisclosed,,Willett (Kentucky Bourbon Distillers),Willett,06382b2b-192f-4ced-b8e7-6c7cd1ccac9f
Willett,Willett Noah's Mill,,Noah's Mill,Y,114.2,57.1,,,,Willett (Kentucky Bourbon Distillers),Willett,3220a432-0261-44bf-94b7-d31bf319e76f
Willett,Willett Old Bardstown,,Old Bardstown,Y,100,50,,,,Willett (Kentucky Bourbon Distillers),Willett,86f89367-f6fe-4661-838e-ba02f09e0a09
Willett,Willett Pot Still Reserve,,Willett Pot Still Reserve,Y,94,47,,"Corn, Rye, Malted Barley",,Willett (Kentucky Bourbon Distillers),Willett,213ce445-7fad-4cd6-88f4-2c9d33380d23
Willett,Willett Pure Kentucky,,Pure Kentucky XO,Y,107,53.5,12,,,Willett (Kentucky Bourbon Distillers),Willett,cd3d5c53-fe10-4237-9740-848b1d78a249
